CompleteStoreName,FoodType,AverageRating,Reviewers,City
Joo Chiat Banh Mi Ca Phe,snacks,4.9,50,singapore
Wanpo Tea Shop,beverages,5,75,singapore
Syed Cafe Exclusive,asian,4.9,56,singapore
Joo Hong Seafood,chinese,4.8,36,singapore
Potato Corner,fries,5,380,singapore
FATCAT Ice Cream & Coffee Boutique,dessert,4.8,13,singapore
Sunrise Japanese & Korean Food,seafood,4.9,168,singapore
Sin Xiong Ji,chinese,4.7,12,singapore
Relax Bar Korean Restaurant,korean,4.6,8,singapore
Kam's Kitchen,asian,4.8,319,singapore
Lai lai Fishball Noodle,noodles,5,66,singapore
Mei Wei Fishball Noodle,chinese,4,12,singapore
Garam Masala Indian And Tandoor,indian,4.3,5,singapore
Kam Par Claypot Food,chicken rice,4.9,907,singapore
Rong Kee Roasted Delights,chinese,4.8,146,singapore
Double K Western,western,4.7,10,singapore
Lotus Nguyen,vietnamese,4.6,12,singapore
Signature KOI,bubble tea,5,523,singapore
Kampong House Mini Wok,chinese,5,546,singapore
Kolkata Beckons,indian,4.7,253,singapore
Mala Hotpot,chinese,5,237,singapore
Nor Nasi Ala Kampung,malaysian,5,92,singapore
Fish Soup And Ban Mian,chinese,4.8,863,singapore
Danlao,chinese,5,50,singapore
Pasta Express,pasta,5,667,singapore
Nanyang Old Coffee,coffee,4.4,9,singapore
Wrap City North Indian Vegetarian Restaurant,indian,4.8,76,singapore
WAWA LALA BEE HOON,asian,4.8,46,singapore
KN Spinach Soup,soups,4.7,120,singapore
Courtallam Border Rahmath Kadai,indian,4.1,102,singapore
Daddy's Soup Kitchen,chinese,4.9,17,singapore
Paradise Biryani,asian,4.7,11,singapore
Sweet Reservations,dessert,5,826,singapore
Eat Hum,seafood,5,17,singapore
,western,4.9,68,singapore
Jing House Western,pasta,5,143,singapore
Nks Malay Seafood,indian,4.9,616,singapore
Hollin,bubble tea,4.9,196,singapore
Tori Sanwa,japanese,2.2,5,singapore
LAYANG,chicken,4.8,53,singapore
Warong Satay Abg Botak,malaysian,5,1156,singapore
BANJARA Bar & Restaurant,indian,4.6,36,singapore
Chef Chicken Rice,chicken rice,5,37,singapore
Dumpling Darlings,chinese,5,279,singapore
Wu Pao Chun,bakery,5,121,singapore
Wangs Roasted Delight,chicken rice,4.9,68,singapore
Chicken Rice,chicken rice,5,737,singapore
Ayam Penyet President,indonesian,5,1391,singapore
Mrs Banana,thai,5,11,singapore
Arcade Fruits,beverages,5,192,singapore
Hua Shuang Mala Hotpot,mala xiang guo,4.7,43,singapore
My Korean Moms Kimchi,korean,5,273,singapore
Yu Shi Tang,chinese,4.9,190,singapore
Qi Lai Feng,chinese,4.9,5,singapore
ABC EXPRESS,indian,4.9,219,singapore
Wild Crumbs,sandwiches,4.9,11,singapore
Yi Jia Le Wah Chye Seafood Restaurant,chinese,4.8,403,singapore
Vs Cafe,vietnamese,5,62,singapore
Tipo Strada,italian,3.6,5,singapore
AL KHADIJA,indian,4.9,201,singapore
Sai Kitchen,indian,4.9,855,singapore
Jimi' D Patisserie & Bakery,bakery,5,40,singapore
Indo Rasa,indonesian,5,139,singapore
Blue Ocean Kopi and Toast,asian,5,22,singapore
Kazo,cakes,5,54,singapore
BALAJI BHAWAN VEGETARIAN,indian,4.5,643,singapore
Bistro Bowl,western,4.8,104,singapore
The Harvest,healthy,5,512,singapore
Pu Tian Food,noodles,4.9,395,singapore
Gerry's Grill Singapore,filipino,5,351,singapore
Libertea,bubble tea,4.8,114,singapore
Du Men,chinese,4.9,314,singapore
Maxi Coffee Bar,coffee,5,72,singapore
M5 Coffee,western,4.9,38,singapore
Double Chin,singaporean,4.9,28,singapore
Coffee Resturant,chinese,4.8,13,singapore
Steam Kitchen,chinese,3,52,singapore
The Salad Fork,salads,4.8,12,singapore
PMR Food Express,indian,4.8,7,singapore
Friends Tasty Korea,korean,4.9,30,singapore
Sonny,pizza,4.7,136,singapore
Lok Lok Dynasty,asian,4.9,246,singapore
Chamor,bubble tea,5,18,singapore
Lu Bian Grilled Fish,singaporean,4.6,49,singapore
Simon Road Hokkien Mee,chinese,4.7,74,singapore
Kebabchi Charcoal BBQ,asian,4.4,46,singapore
Cui Cui Xiang Popiah & Rojak,singaporean,4.9,32,singapore
Elemen,pizza,5,33,singapore
Whampoa Nan Xiang Chicken Rice,singaporean,4.7,5,singapore
ABC Restaurant,indian,4.7,856,singapore
Caf,mexican,4.9,19,singapore
Warong Pak Sapari,indonesian,4.9,91,singapore
GO Noodle House,noodles,4.9,123,singapore
Tiong Bahru Bakery,bakery,5,111,singapore
Flyboy Yong Tau Foo,chicken,4.9,15,singapore
Feng Wei Ngoh Hiang Prawn Cracker,chinese,4.5,18,singapore
Lotus Caf,vegetarian,4.9,252,singapore
Hong Sheng Fish Soup,seafood,4.9,69,singapore
Soon Tofu,korean,4.9,20,singapore
Chengdu Bowl,asian,4.9,28,singapore
Chef Sham Fish Maw Pig Stomach Chicken,chinese,5,283,singapore
Hwa Heng Beef Noodle,chinese,4.9,305,singapore
Naan House,indian,2.4,20,singapore
El Carbon,western,5,39,singapore
Meeting Mee,asian,4.9,16,singapore
Twist & Buckle,dessert,4.5,5,singapore
Paik's Noodle,korean,4.8,54,singapore
Little Thai Wok,thai,4.9,171,singapore
Ju Bao Xuan Mala Hotpot,chicken,4.9,52,singapore
Qiang Traditional Claypot Curry,chicken,4.6,23,singapore
Southern Soul Nashville Fried Chicken,korean,4.9,5,singapore
NIU HONGHONG RESTAURANT,chinese,5,83,singapore
CHASHE,bubble tea,5,24,singapore
D'Penyetz Express,indonesian,5,1527,singapore
Bistro Eminami Halal Vietnam,vietnamese,4.8,17,singapore
Jun Xing Fish Soup And Ban Mian,noodles,5,118,singapore
Josh's Grill,western,5,301,singapore
He Feng Seafood,chinese,4.7,176,singapore
Rumah Makan Minang,indonesian,5,79,singapore
Putien,noodles,4.9,398,singapore
AASI Briyani,indian,2.2,6,singapore
Lin Jia Yong Tau Foo,chinese,4.9,281,singapore
Gim Seng Seafood,chinese,4.9,32,singapore
Warming Rice Noodle,chinese,4.9,137,singapore
Boleh Boleh,singaporean,4.8,260,singapore
Kungfu Mala Hotpot,chinese,4.6,53,singapore
Streats,chinese,4.9,52,singapore
Lao Da Suan La Fen,chinese,4.9,23,singapore
Su Xiang Vegetarian,vegetarian,4.8,44,singapore
DuoDuo Dou,dessert,4.8,12,singapore
BOX'HA,chicken,5,56,singapore
Teiyoshiya,japanese,4.7,5,singapore
Ngon Baguette,vietnamese,4.8,42,singapore
Liang Zai Prawn Noodle,asian,4.7,59,singapore
Jalan Kayu Prata Cafe,roti prata,4.6,13,singapore
Feng Wei Seafood,seafood,5,117,singapore
Wonderful Cafe La Mian Xiao Long Bao Dim Sum,chinese,5,113,singapore
The FISH & CHIPS Shop,western,4.9,98,singapore
Jae's Kitchen,chinese,4.2,6,singapore
Mentai SENS,japanese,4.9,544,singapore
Al Fatthah Foods,asian,4.9,13,singapore
La Xiao Chuan,chinese,4.6,32,singapore
427 Hokkien Mee,asian,4.6,7,singapore
Mumbai Magic,indian,4.7,245,singapore
Restaurant Aisyah,chinese,5,10,singapore
82 Old Street,pancakes and waffles,4.9,157,singapore
The Lunar Rabbit Boulangerie,bakery,4.9,39,singapore
US Pizza,pizza,5,280,singapore
Xiao Dang Jia Charcoal Roasted,chinese,5,29,singapore
China Whampoa Home Made Noodle,chinese,5,55,singapore
Guo Qin Noodle,asian,4.8,73,singapore
Nandini Restaurant,indian,4.4,107,singapore
Ar Rayyan Restaurant,asian,4.9,130,singapore
EN Seeds,healthy,5,32,singapore
Ann's Western Food,western,4.8,210,singapore
Rempah by Chilli Padi,singaporean,4.9,222,singapore
365 Juices Bar,beverages,5,87,singapore
SAN YE SEAFOOD ZICHAR,chinese,4.9,779,singapore
341 Beach Road Pho,vietnamese,5,235,singapore
Warong Pak Sapari,indonesian,4.8,56,singapore
Thai Dynasty,thai,3.6,29,singapore
Geylang Street Food BBQ,asian,4.9,31,singapore
Hill Street Hainanese Curry Rice,asian,4.9,68,singapore
Tani Bistro,indian,4.9,24,singapore
Squeeze,dessert,5,83,singapore
AL,indian,4.5,9,singapore
SEORAE JIB,korean,4.8,351,singapore
The White Tiffin,singaporean,5,60,singapore
No,bubble tea,5,52,singapore
Huat Heong Bak Kut Teh,malaysian,4.9,273,singapore
King of Chicken Rice,singaporean,5,188,singapore
85 Roasted Meat,chinese,4.9,7,singapore
A1 Boneless Chicken Rice,chicken rice,5,50,singapore
Mee Hoon Delight & Lei Cha Pao Fan,asian,4.7,98,singapore
Le Petit Empire Designer Cakes,cakes,5,8,singapore
House Of Seafood,seafood,4.5,204,singapore
Kushiya,rice dishes,4.8,1090,singapore
Woobbee,tea,5,719,singapore
Delcie's Desserts And Cakes,cakes,4.9,119,singapore
Hooters Singapore,western,4.7,218,singapore
The Wine Company,western,5,210,singapore
Pinxin Catering,chinese,4.9,1872,singapore
Like Pudding,dessert,4.6,1464,singapore
Blue Elephant,thai,4.8,716,singapore
Pizza Arc,italian,4.9,1946,singapore
Ming Fa Fishball,noodles,4.9,4394,singapore
Crystal Jade La Mian Xiao Long Bao,chinese,5,3071,singapore
SHU Vegetarian,vegetarian,5,3431,singapore
Muthu,indian,4.9,742,singapore
Tachinomiya Izakaya & Bar,japanese,4.9,789,singapore
Brotzeit Westgate,western,5,555,singapore
Lower East Side Taqueria,mexican,4.9,621,singapore
March,western,4.9,618,singapore
8 Degrees,chinese,4.9,1979,singapore
Fish Soup Ban Mian,seafood,4.9,334,singapore
Rice & Box,chicken,5,6982,singapore
Wanyuan Vegetarian,asian,5,24,singapore
Top Seafood,chinese,4.9,2331,singapore
Joo Siah Bak Koot Teh,chinese,5,1384,singapore
Tampopo,japanese,5,806,singapore
8 Korean BBQ,korean,4.7,153,singapore
Shi Kou Seafood,chinese,4.9,1276,singapore
March,western,5,233,singapore
Lucky Saigon,vietnamese,4.8,755,singapore
Yuet Sing Seafood,chinese,4.9,948,singapore
Carl's Jr,american,4.9,1183,singapore
Pine Tree Cafe,vegetarian,4.9,700,singapore
Curry Magic,indian,4.9,462,singapore
Bagus Yong Tau Fu,singaporean,5,1519,singapore
Shin Minori Japanese Restaurant,japanese,4.9,154,singapore
Fun Toast,coffee,5,4091,singapore
Lian Soon Huat Seafood,chinese,4.8,4955,singapore
Tampopo Grand,japanese,4,79,singapore
The Royals Cafe,western,4.9,3252,singapore
Purple Panda,asian,4.9,171,singapore
KL Traditional Chilli Ban Mee,noodles,4.9,2658,singapore
Hai Kee Soy Sauce Chicken Rice,chicken rice,4.8,1753,singapore
Baden Restaurant & Pub,singaporean,4.5,97,singapore
Pezzo Pizza,pizza,4.9,2154,singapore
Casuarina Curry Restaurant,indian,4.9,3737,singapore
Hai Zhong Bao Live Seafood,chinese,4.9,3382,singapore
Feng Ji Chicken Rice,chicken rice,5,2909,singapore
Jing Long Seafood Restaurant,chinese,4.9,365,singapore
Brunches Cafe,western,4.9,775,singapore
Siam Village,thai,4.9,849,singapore
The Dempsey Project,western,4.8,163,singapore
ALT Pizza,pizza,4.9,1840,singapore
New Fut Kai Vegetarian,vegetarian,4.9,568,singapore
Sichuan Tianfu Restaurant,chinese,4.7,2862,singapore
Flamingg Mangos,western,4.9,1929,singapore
Smiths Authentic British Fish & Chips,snacks,4.8,1095,singapore
4Fingers Crispy Chicken,fried chicken,5,13442,singapore
Geylang Prawn Noodles,noodles,4.9,1407,singapore
Swensen's,western,4.9,3964,singapore
Mei Wei Dessert,dessert,4.9,915,singapore
Hua Zai Roasted Duck,chinese,4.3,333,singapore
Wok Master,chinese,4.8,1364,singapore
Taste Of India,indian,4.9,1549,singapore
Boon Keng Road Fish Head Bee Hoon,singaporean,4.9,512,singapore
RK Eating House,indian,4.9,5742,singapore
Omar Shariff,indian,4.9,2104,singapore
Georges Madbar & Grill,italian,4.6,197,singapore
Crystal Jade Hong Kong Kitchen,chinese,5,555,singapore
Haig Road Putu Piring,snacks,4.9,29,singapore
Copper Chimney,indian,4.8,2286,singapore
Metta Cafe,healthy,5,411,singapore
Dosirak,healthy,5,403,singapore
Tea Chimes by Chilliz,indian,4.4,213,singapore
Beyond Pancakes,western,4.9,189,singapore
Ci Yuan Authentic Hainanese Chicken Rice,chicken rice,4.9,2652,singapore
Five Star Kampung Chicken Rice & Kitchen,chicken rice,4.8,2219,singapore
Kumi,japanese,5,150,singapore
The Manhattan Fish Market,seafood,5,3753,singapore
Quentin's the Eurasian Restaurant,singaporean,4.9,185,singapore
Wanton Noodle House,chinese,4.9,1936,singapore
Lai Lai Taiwan Casual Dining,chinese,4.9,2386,singapore
Tangra Chinese,chinese,4.9,735,singapore
YFL SEAFOOD,seafood,4.9,248,singapore
Miam Miam,pasta,5,158,singapore
Lola's Cafe,cakes,5,3732,singapore
Folks Collective,thai,5,145,singapore
Dapur Bakso,indonesian,5,8,singapore
Tea Tree Cafe,beverages,5,353,singapore
Lao Jiang Superior Soup,soups,4.9,2802,singapore
Jaguarita's,salads,4.9,212,singapore
Rocky Master,western,4.9,733,singapore
Le Rida,indian,4.9,415,singapore
Curry Times,chicken,5,2521,singapore
Olive Vine Pasta Fusion,pasta,4.9,142,singapore
001 Cafe,singaporean,4.9,539,singapore
Eatzi Gourmet Steakhouse & Bistro,western,4.9,1009,singapore
Fat Bird Chicken HotPot,chinese,4.8,993,singapore
Elemen,pizza,4.8,10,singapore
Dongbei BBQ & Dumplings,chinese,4.9,228,singapore
Seoul Chicken,korean,4.9,1356,singapore
Snaffles Pastry,cakes,5,70,singapore
Taipei Zhan Juices & Bubble Tea,bubble tea,5,1266,singapore
Madrinaa Italiano,pizza,4.7,269,singapore
Beirut Grill,indian,4.9,186,singapore
Nando's,chicken,4.9,5589,singapore
Blooie'S Roadhouse,western,4.9,698,singapore
Veganburg,american,5,2423,singapore
Pietro Ristorante Italiano,pizza,5,647,singapore
P,dessert,5,299,singapore
Patro'S Sports Bar & Restaurant,mexican,4.7,374,singapore
Himalaya Kitchen,indian,4.7,3037,singapore
Gu Zao Ren Taiwan Porridge,chinese,4.9,5139,singapore
Gado & Grill,indonesian,5,1613,singapore
Chat Masala,indian,4.7,1304,singapore
Joe & Dough,coffee,4.9,544,singapore
Saybons,bakery,4.8,1010,singapore
Bobby's Delicacy,pasta,5,1987,singapore
Social Place,chinese,5,20,singapore
Anson Town,singaporean,5,1103,singapore
Teochew Seafood White Meehoon,seafood,4.7,128,singapore
803 Thai Food,thai,5,25,singapore
Grandma's Braised Master,chinese,4.8,138,singapore
Jing Chicken Pot,american,4.9,91,singapore
Xing Yun Hainanese boneless chicken rice,asian,4.8,284,singapore
5 Grill Kitchen,chicken,5,4966,singapore
TWB Pizza and Bar,pizza,4.8,193,singapore
Kaye Peri Peri Grille Pasta,chicken,4.9,1971,singapore
Sergeant Chicken Rice,chicken rice,4.9,1085,singapore
Salted Caramel,dessert,5,294,singapore
Hainanese Western,chicken,4.9,1324,singapore
Club July,seafood,4.8,631,singapore
PAUL,cakes,5,174,singapore
Sri Lakshmi Narayana Restaurant,indian,5,2442,singapore
Sarpino's,pizza,4.9,1686,singapore
Miam Miam,pasta,4.8,582,singapore
Sakae Sushi,japanese,4.8,952,singapore
Si Chuan Dou Hua Restaurant,chinese,4.2,116,singapore
Brinda's,indian,5,4526,singapore
Hard Rock Cafe,western,4.9,598,singapore
XO Minced Meat Noodle,noodles,4.7,1149,singapore
A1 Indian Curry North Indian & Lebanese Food,indian,3.8,415,singapore
The Coffee Bean & Tea Leaf,coffee,5,5918,singapore
Barrels,indian,4.7,813,singapore
Greendot,vegetarian,5,767,singapore
Chuan Xiang Fang,asian,4.6,68,singapore
The Burger Office,burgers,4.8,321,singapore
Al Forno,pizza,4.9,1129,singapore
Pasta Fresca,pasta,4.8,289,singapore
The Soup Spoon Union,soups,5,4137,singapore
Saveur,italian,5,43,singapore
Chutney Mary,indian,4.9,2384,singapore
Marhaba,indian,5,4326,singapore
Helios 93,sandwiches,4.8,147,singapore
W39 Bistro & Bakery,western,5,884,singapore
Time Table Cafe,western,5,3137,singapore
Sk Cafe,pasta,4.8,1812,singapore
Aromas,indian,4.4,1124,singapore
Paik's Bibim,korean,4.8,811,singapore
Authentic Mun Chee Kee,rice dishes,5,3169,singapore
Oldtown White Coffee,noodles,4.9,620,singapore
Tiffin North Indian Cuisine,indian,5,290,singapore
Temptations Cafe & Cakes,cakes,4.9,352,singapore
Fook Seng Goldenhill Chicken Rice,chicken rice,4.8,869,singapore
PAUL,cakes,4.6,249,singapore
Cheng Gong,chinese,4.9,3971,singapore
Bali Thai,thai,4.8,1032,singapore
Pasta & Broiler,pasta,4.8,5011,singapore
So Pho,vietnamese,5,5633,singapore
Inle Myanmar,asian,4.9,166,singapore
Good Chance Popiah,chinese,4.9,408,singapore
Straits Chinese Nonya Restaurant,singaporean,4.4,68,singapore
Rachelrax Cakes,cakes,4.9,9,singapore
Asam Tree,indonesian,4.9,731,singapore
Fish With You,asian,4.9,32,singapore
Blackball,dessert,5,1232,singapore
I Love Taimei,bubble tea,5,5892,singapore
Lai Huat Signatures,chinese,4.9,617,singapore
Texas Chicken,fried chicken,4.9,14329,singapore
Sahara Bar & Restaurant,middle eastern,4.8,425,singapore
Emicakes,cakes,5,1067,singapore
Wang Da Ye Bbq,chinese,4.9,274,singapore
805 Seafood Kitchen,chinese,4.5,4343,singapore
San Gloo,dessert,4.9,1263,singapore
Sinn Ji Hainanese Chicken Rice,chicken rice,5,2730,singapore
Ice Talk Xpress,bubble tea,5,2890,singapore
Han Bing,dessert,4.6,228,singapore
Swensen's,western,5,3432,singapore
Tandoori Zaika,indian,4.6,195,singapore
Petra,cakes,4.7,162,singapore
Shiv Sagar,indian,4.8,769,singapore
Coba Coba,rice dishes,5,6040,singapore
TAAN Asian Grilled Bar,chinese,4.9,576,singapore
Kim Hock Roasted Delights,chinese,4.9,35,singapore
Bangkok Thai Pork Leg Rice,thai,4.6,5,singapore
139 Claypot Delight,chicken,5,24,singapore
Char Grill Bar,western,5,2437,singapore
Brotzeit,western,5,277,singapore
Dessert First,dessert,4.9,762,singapore
Islamic Restaurant,indian,4.9,311,singapore
Sandwich Saigon,sandwiches,4.9,1429,singapore
The Garden Slug,western,5,982,singapore
Seoul Garden HotPot,korean,5,2773,singapore
Sawasdee Thai Restaurant,thai,4.8,665,singapore
Fresh Fruits Lab,healthy,5,409,singapore
Saladstop,salads,4.9,643,singapore
The Royals Cafe,western,5,1080,singapore
La Nonna,pizza,4.9,840,singapore
TCC,pasta,4.5,125,singapore
Pastamania,pasta,5,10035,singapore
Home Of Seafood,chinese,4.9,1576,singapore
Choupinette,mexican,3.7,186,singapore
Taj Authentic Indian Cuisine,indian,4.9,368,singapore
Spizza,pizza,4.8,1550,singapore
Shish Mahal,indian,4.4,298,singapore
Sergeant Chicken Rice,chicken rice,5,1300,singapore
Chilli Padi Nonya Restaurant,singaporean,4.9,1264,singapore
Citrus By The Pool,italian,5,3150,singapore
Ricciotti,pizza,3.4,88,singapore
Kinara,indian,4.9,3646,singapore
T Bob'S Corner,american,4.7,669,singapore
Penang Culture,malaysian,4.9,7201,singapore
Taj Kitchen,indian,4.8,681,singapore
Ritz Apple Strudel,cakes,4.6,53,singapore
Scoop Juice Bar,beverages,5,259,singapore
Udders Ice Cream,dessert,5,22,singapore
Myeongdong Kitchen,singaporean,4.4,6,singapore
Sarawak Delicacy Laksa & Kolo Mee,noodles,5,327,singapore
bamboo bowls,healthy,5,100,singapore
Sod Cafe,western,5,4022,singapore
Honguo,chinese,5,3049,singapore
Fatboy's The Burger Bar,american,4.9,2451,singapore
Aglioolio,pasta,4.9,162,singapore
Wok,fried rice,5,86,singapore
Casuarina Curry,indian,4.9,2644,singapore
Shan Cheng,noodles,4.9,2515,singapore
Jiak Modern Tzechar,chinese,4.8,3482,singapore
Boon Cafe,western,4,5,singapore
Kaye Peri Peri Grille Pasta,chicken,4.9,2089,singapore
Soldier Chicken,western,4.9,544,singapore
Bonchon,korean,4.9,393,singapore
Sally's,singaporean,4.9,231,singapore
Fu Xing Charcoal Roasted Delight,asian,4.8,8,singapore
Southern Soul Nashville Fried Chicken,korean,4.8,61,singapore
SA,asian,4.8,207,singapore
Mun Kee Pig Organ Soup Since 1960,chinese,4.9,256,singapore
Emperor Chicken Rice,chicken,4.9,12,singapore
Gigi Gourmet Deli,italian,5,124,singapore
Guang Fu Mala Tang,chinese,4.9,105,singapore
The Kind Bowl,vietnamese,4.9,21,singapore
Vietnamese Street Delights,vietnamese,5,40,singapore
Yew Kee Duck Rice,rice dishes,4.9,315,singapore
Ee Han Kuey Tiao Kai,chinese,4.9,588,singapore
Nuodle Lanzhou Beef Noodle,noodles,5,1374,singapore
17 house of noodle,singaporean,4.9,27,singapore
Pitstop Kitchen,western,4.9,8,singapore
Curry Gravy By Gandhi,indian,4.7,5,singapore
TAI WAH PORK NOODLE,noodles,5,261,singapore
DAMASCUS DELIGHTS,middle eastern,4.9,9,singapore
MEET NOODLES,chinese,5,50,singapore
Guzzle Kebabs,mediterranean,4.9,380,singapore
Chen's Mapo Tofu,chinese,4.9,412,singapore
Wee O'Clock,beverages,3.8,6,singapore
Cow And Farmer Restaurant,indian,4.7,152,singapore
AL HAYAT RESTAURANT,indian,4.9,14,singapore
Hup Heng Gourmet Food,asian,4.7,18,singapore
Jia Rui Yipin Restaurant,chinese,4.9,31,singapore
Singapura Heritage,singaporean,4.9,1152,singapore
Tonkatsu by Ma Maison,japanese,5,20,singapore
Mufiz Restaurant,singaporean,5,5,singapore
Kl Chicken Rice & Pork Leg Rice,chicken rice,4.9,404,singapore
Yu You Roasted Delight,rice dishes,4.5,35,singapore
Genki Sushi,sushi,5,924,singapore
More Batter,fried chicken,4.9,153,singapore
Dapur Penyet,indonesian,4.9,83,singapore
Tuk Tuk Cha,thai,4.8,23,singapore
Rasa Western Grill,western,4.9,52,singapore
Mo Kebabs,mediterranean,4.9,56,singapore
Ambikaa Indian Foods & Claypot Biriyani,asian,2,50,singapore
786 Sabira Indian Muslim Food Shenton Way Mee Goreng,indian,5,12,singapore
REIWA SOBA HONTEN,singaporean,4.9,58,singapore
Santoshimaa,indian,4.9,31,singapore
Putian Fusion,chinese,4.7,11,singapore
Danlao,asian,4.9,39,singapore
CHARR,western,4.9,70,singapore
Joyful Chicken Rice,asian,4.7,38,singapore
Delicious Satay,asian,4.8,65,singapore
Food Junction,rice dishes,4.9,392,singapore
Chee Wei Vegetarian,vegetarian,5,58,singapore
Carrotsticks,western,5,48,singapore
Tonkatsu ENbiton,japanese,5,67,singapore
Tanglin Halt Fish Soup & Ban Mian & Fried Rice,chinese,4.9,18,singapore
Spruce,western,4.4,19,singapore
Lai Lai Taiwan Casual Dining,chinese,4.8,17,singapore
HOJIAK NASI LEMAK,chinese,4.9,294,singapore
Thirteen BBQ Bar,chinese,4.9,220,singapore
Chao Zhou,porridge,4.9,311,singapore
Famous West Coast Mee Goreng & Crispy Prata,indian,4.8,71,singapore
Sukiya Gyudon,japanese,5,112,singapore
768 Yong Tau Foo,fried rice,4.9,138,singapore
Kebab King,mediterranean,4.8,91,singapore
Thai Basil Bowl,thai,4.9,22,singapore
88 Chicken,fried chicken,4.6,14,singapore
Sayed Aminah Muslim Food,indian,5,51,singapore
PUTIAN FUSION,chinese,3.5,6,singapore
Rong Xiang Seafood,chinese,4.7,8,singapore
Coffee With Meow,asian,4.8,8,singapore
Dang Hong Pho,vietnamese,4.8,13,singapore
Enaq The Prata Shop,indian,5,1113,singapore
MOA Restrobar,korean,4.7,5,singapore
Wok,asian,4.3,18,singapore
Mavi Restaurant & Grill,middle eastern,3.7,75,singapore
Fu Qiang Pig's Organ Soup,chinese,4.9,31,singapore
Drinks,dim sum ,4.7,26,singapore
17 Turkish Doner Kebab,middle eastern,4.5,53,singapore
Creamier,dessert,5,46,singapore
Pizzakaya,pizza,4.9,172,singapore
ZOUL'S CORNER,malaysian,5,736,singapore
Feng Food,asian,5,212,singapore
Panda BBQ,chinese,5,269,singapore
Yunnans,chinese,4.9,84,singapore
Traditional Penang Food,malaysian,4.9,196,singapore
Zi Jia Yong Tau Foo,chinese,4.9,23,singapore
Mumbai Masala North Indian Restaurant,indian,4.8,90,singapore
ZUS Coffee,beverages,5,18,singapore
Do Qoo,dessert,5,292,singapore
Donergy Turkish Kebab,mediterranean,5,57,singapore
HANKANG POCHA,korean,4.9,197,singapore
Tealer,beverages,5,14,singapore
Sofra Turkish Cafe & Restaurant,middle eastern,4.9,72,singapore
Ang Moh Zhi Char,seafood,4.9,37,singapore
Mamak Briyani Indian Muslim Food,indian,4.8,44,singapore
Arabest,middle eastern,5,312,singapore
Baker's Well,cakes,4.9,187,singapore
Haha Family,chinese,4.8,87,singapore
Ushiyama Yakiniku,japanese,4.9,7,singapore
XianYu Gang & Nang Myanmar Kitchen,asian,4.7,19,singapore
Otter & Ice BBT Fruit Juice,beverages,5,109,singapore
684 Black & White Rojak,singaporean,5,54,singapore
Desa Rancapanggung,malaysian,5,175,singapore
Daebak Korean Restaurant Queenstown,korean,4.9,61,singapore
Zhang Liang Mala Tang,mala xiang guo,4.9,190,singapore
ADDA,indian,4.2,53,singapore
Pizza Nation,pizza,4.9,12,singapore
Jinjja Kitchen,korean,4.9,37,singapore
Hannibal European Grill & Bar,pizza,4.3,61,singapore
Isshin Machi,chinese,4.9,257,singapore
Warung Selera Masakan Kampung,malaysian,4.9,5,singapore
Healthy Soba IKI,japanese,5,9,singapore
Miss Tang's Rice Noodle,asian,4.1,5,singapore
JIA Dessert,dessert,4.9,154,singapore
Little Italy Salumeria,pizza,5,315,singapore
Eatero,chicken,5,146,singapore
Prawnography Novena Gardens,noodles,4.7,100,singapore
Yum Yum Thai,chicken,5,39,singapore
Rasa Rasa Food Fiesta Restaurant LLP,malaysian,5,90,singapore
Nassim Hill Bakery Bistro Bar,western,4.9,24,singapore
Yakiniku,japanese,4.9,35,singapore
BEGE,burgers,5,305,singapore
Murugan Idli Shop,indian,4.9,1486,singapore
SHAWARMA N KEBAB AND SWEETS,middle eastern,4.9,144,singapore
Huff & Puff,bakery,5,333,singapore
Himalaya Kitchen,indian,4.5,21,singapore
Yong Seng Teochew Fishball Mee,noodles,4.9,161,singapore
Bhai's Chapati & Biryani,indian,5,518,singapore
Aroy Chatuchak,thai,4.7,449,singapore
boomeranz nasi ayam & western cuisine,fried rice,5,209,singapore
Kawan Kawan Chicken Rice,chicken rice,5,695,singapore
Gandhi Restaurant,indian,4.8,142,singapore
Beach Road Scissor Cut Curry Rice,curry,5,1141,singapore
Tip Top Curry Puff,snacks,5,91,singapore
KETO BOX,western,3.6,8,singapore
Kampung Glam Cafe,malaysian,5,621,singapore
Rong Cheng Rou Gu Cha,soups,4.8,411,singapore
NEW FRIENDS,seafood,5,66,singapore
Nan Yang Dao,malaysian,4.9,278,singapore
Super Thai By Soi Aroy,thai,4.9,271,singapore
Simmer Soup,soups,4.8,849,singapore
Chef de Pasta,western,4.9,30,singapore
Fusion Spoon,singaporean,5,6,singapore
Hong Wan Kei Ipoh,malaysian,3.1,5,singapore
Osaka Ohsho,japanese,4.9,249,singapore
CHUN CHUN TIAN MI DESSERTS,dessert,5,47,singapore
Kubis Authentic Korean Food,korean,4.9,640,singapore
Xiang Cheng Seafood,chinese,4.9,72,singapore
Chicken Hotpot,chinese,4.8,140,singapore
TIAN FU YUAN MALA HOTPOT,mala xiang guo,4.9,45,singapore
Ichidon Winkitchen,rice dishes,5,422,singapore
Brauhaus Restaurant & Pub,american,4.9,53,singapore
Mr AB Prata & Mee Goreng,malaysian,4.9,8,singapore
Lao Huo Tang Herbal Soup,soups,4.9,2116,singapore
Shami Banana Leaf,indian,5,330,singapore
